Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
Kuldeep Yadav (INDIA),25,25,221.2,5,1045,55,25-Jun,19,4.72,24.1,4,1
YS Chahal (INDIA),23,23,207.1,3,1015,44,Jun-42,23.06,4.89,28.2,1,2
B Kumar (INDIA),22,22,163.1,10,847,26,Apr-45,32.57,5.19,37.6,1,0
JJ Bumrah (INDIA),13,13,100.5,9,366,22,Apr-35,16.63,3.62,27.5,1,0
Mohammed Shami (INDIA),9,9,78.4,2,429,17,19-Mar,25.23,5.45,27.7,0,0
MP Stoinis (AUS),16,14,103.3,1,650,17,16-Mar,38.23,6.28,36.5,0,0
RA Jadeja (INDIA),11,11,103.5,4,494,16,29-Apr,30.87,4.75,38.9,2,0
JA Richardson (AUS),7,7,67,5,383,13,26-Apr,29.46,5.71,30.9,1,0
AJ Tye (AUS),7,7,64.3,1,392,12,May-46,32.66,6.07,32.2,0,1
KK Ahmed (INDIA),8,8,63,2,338,11,13-Mar,30.72,5.36,34.3,0,0
MA Starc (AUS),7,7,67,2,411,11,Apr-59,37.36,6.13,36.5,1,0
KM Jadhav (INDIA),17,12,66,1,307,9,23-Mar,34.11,4.65,44,0,0
HH Pandya (INDIA),13,13,92.2,1,506,9,Feb-30,56.22,5.48,61.5,0,0
PJ Cummins (AUS),6,6,56,7,266,8,24-Apr,33.25,4.75,42,1,0
JR Hazlewood (AUS),6,6,57,3,284,8,Mar-39,35.5,4.98,42.7,0,0
KW Richardson (AUS),3,3,26,1,156,6,Mar-51,26,6,26,0,0
B Stanlake (AUS),5,5,46,2,256,6,Mar-35,42.66,5.56,46,0,0
SN Thakur (INDIA),3,3,22.5,0,144,5,Apr-52,28.8,6.3,27.4,1,0
AC Agar (AUS),5,5,42,2,232,4,Feb-48,58,5.52,63,0,0
UT Yadav (INDIA),4,4,39.5,0,275,4,Feb-70,68.75,6.9,59.7,0,0
JP Behrendorff (AUS),2,2,18.2,3,91,3,Feb-39,30.33,4.96,36.6,0,0
MR Marsh (AUS),5,5,18,1,81,3,24-Feb,27,4.5,36,0,0
MG Neser (AUS),2,2,16.4,1,120,2,Feb-46,60,7.2,50,0,0
PM Siddle (AUS),3,3,25,1,162,2,Jan-48,81,6.48,75,0,0
A Zampa (AUS),7,7,61,0,338,2,Jan-46,169,5.54,183,0,0
DL Chahar (INDIA),1,1,4,0,37,1,Jan-37,37,9.25,24,0,0
NM Coulter-Nile (AUS),1,1,3,0,26,1,26-Jan,26,8.66,18,0,0
NM Lyon (AUS),4,4,37,1,179,1,Jan-38,179,4.83,222,0,0
GJ Maxwell (AUS),10,8,22,0,143,1,16-Jan,143,6.5,132,0,0
AJ Finch (AUS),14,2,4,0,24,0,-,-,6,-,0,0
TM Head (AUS),12,3,9.5,0,70,0,-,-,7.11,-,0,0
S Kaul (INDIA),3,3,27,0,179,0,-,-,6.62,-,0,0
Mohammed Siraj (INDIA),1,1,10,0,76,0,-,-,7.6,-,0,0
SK Raina (INDIA),3,3,7,1,42,0,-,-,6,-,0,0
AT Rayudu (INDIA),18,2,2.1,0,13,0,-,-,6,-,0,0
V Shankar (INDIA),4,4,16,0,78,0,-,-,4.87,-,0,0
DJM Short (AUS),4,3,7,0,59,0,-,-,8.42,-,0,0
AT Carey (AUS),9,-,-,-,-,-,-,-,-,-,-,-
S Dhawan (INDIA),27,-,-,-,-,-,-,-,-,-,-,-
MS Dhoni (INDIA),26,-,-,-,-,-,-,-,-,-,-,-
PSP Handscomb (AUS),3,-,-,-,-,-,-,-,-,-,-,-
SS Iyer (INDIA),3,-,-,-,-,-,-,-,-,-,-,-
KD Karthik (INDIA),12,-,-,-,-,-,-,-,-,-,-,-
UT Khawaja (AUS),3,-,-,-,-,-,-,-,-,-,-,-
V Kohli (INDIA),20,-,-,-,-,-,-,-,-,-,-,-
CA Lynn (AUS),3,-,-,-,-,-,-,-,-,-,-,-
SE Marsh (AUS),10,-,-,-,-,-,-,-,-,-,-,-
TD Paine (AUS),9,-,-,-,-,-,-,-,-,-,-,-
MK Pandey (INDIA),1,-,-,-,-,-,-,-,-,-,-,-
RR Pant (INDIA),3,-,-,-,-,-,-,-,-,-,-,-
